model,script_id,domain,order,history_mode,run_id,step,step_type,score,anchor,shift,deviation,step_delta,confidence,explanation_len_words
llama3_1_8b,B01,duty,forward,history,1,R,rule,-2,-2,0,0,0,100,28
llama3_1_8b,B01,duty,forward,history,1,C1,commitment,-2,-2,0,0,0,100,16
llama3_1_8b,B01,duty,forward,history,1,C2,commitment,-2,-2,0,0,0,100,16
llama3_1_8b,B01,duty,forward,history,1,C3,commitment,-2,-2,0,0,0,100,16
llama3_1_8b,B01,duty,forward,history,1,C4,commitment,-2,-2,0,0,0,100,16
llama3_1_8b,B01,duty,forward,no_history,1,R,rule,-2,-2,0,0,0,100,28
llama3_1_8b,B01,duty,forward,no_history,1,C1,commitment,-2,-2,0,0,0,90,25
llama3_1_8b,B01,duty,forward,no_history,1,C2,commitment,-2,-2,0,0,0,100,24
llama3_1_8b,B01,duty,forward,no_history,1,C3,commitment,-2,-2,0,0,0,100,23
llama3_1_8b,B01,duty,forward,no_history,1,C4,commitment,-2,-2,0,0,0,100,21
llama3_1_8b,B01,duty,reverse,history,1,C4,commitment,-2,-2,0,0,0,100,21
llama3_1_8b,B01,duty,reverse,history,1,C3,commitment,-2,-2,0,0,0,100,21
llama3_1_8b,B01,duty,reverse,history,1,C2,commitment,-2,-2,0,0,0,100,21
llama3_1_8b,B01,duty,reverse,history,1,C1,commitment,-2,-2,0,0,0,100,21
llama3_1_8b,B01,duty,reverse,history,1,R,rule,-1,-2,1,1,1,80,24
llama3_1_8b,B01,duty,reverse,no_history,1,C4,commitment,-2,-2,0,0,0,100,21
llama3_1_8b,B01,duty,reverse,no_history,1,C3,commitment,-2,-2,0,0,0,100,23
llama3_1_8b,B01,duty,reverse,no_history,1,C2,commitment,-2,-2,0,0,0,100,24
llama3_1_8b,B01,duty,reverse,no_history,1,C1,commitment,-2,-2,0,0,0,90,25
llama3_1_8b,B01,duty,reverse,no_history,1,R,rule,-2,-2,0,0,0,100,28
llama3_1_8b,C01,collective,forward,history,1,R,rule,-2,-2,0,0,0,90,37
llama3_1_8b,C01,collective,forward,history,1,C1,commitment,-2,-2,0,0,0,95,30
llama3_1_8b,C01,collective,forward,history,1,C2,commitment,-2,-2,0,0,0,95,30
llama3_1_8b,C01,collective,forward,history,1,C3,commitment,-2,-2,0,0,0,95,30
llama3_1_8b,C01,collective,forward,history,1,C4,commitment,-2,-2,0,0,0,95,30
llama3_1_8b,C01,collective,forward,no_history,1,R,rule,-2,-2,0,0,0,90,37
llama3_1_8b,C01,collective,forward,no_history,1,C1,commitment,-2,-2,0,0,0,90,21
llama3_1_8b,C01,collective,forward,no_history,1,C2,commitment,-2,-2,0,0,0,90,33
